H  SOFTWARE NAME & VERSION
I  GPSU 4.04,
S SymbolSet=0

H : Data Source Is Ordnance Survey
H : Please Acknowledge If Re-Posting
  - Pub = Public Access (Not Guaranteed)
  - Pri = On Private Land - Permission Reqd
  - Pil = Pillar Is Intact
  - Stu = Only Stump / Base Remains
  - Rem = No Sign Of Pillar
  - Unk = State Of Pillar Unknown
  - Source Of Access Etc Data
  - Pass = Os Passive Stns
  - Int = Internet Trawl
  - Nm = Not On Current 50K Map
  - Mh = Height Is From Map
  - Mc = Coordinates Are From Map
  

H R DATUM
M E   Ord Srvy Grt Britn,075, 5.7360400E+02, 1.1960020E-05,375,-111,431

H  COORDINATE SYSTEM
U  BRITISH GRID

W,600100,ST,07040,15113,   167.0,Appledore
W,600101,SZ,53614,79651,   226.0,Appuldurcombe Down
W,600102,SH,86269,22382,   907.0,Aran Fawddwy
W,600103,NF,83119,79084,    41.0,Ard A'mhorain
W,600104,NR,94498,32828,   512.0,Ard Bheinn
W,600105,NM,74307,06216,    66.0,Ard Luing
W,600106,NM,32291,17747,    90.0,Ard Mor
W,600107,NM,42113,24129,    44.0,Ardchrishnish
W,600108,NG,87878,26402,     7.0,Ardelve pil pub s9749 jd 05 04
W,600109,NR,56234,71682,    86.0,Ardfernal
W,600110,NO,12001,29682,    80.0,Ardgilzean
W,600111,NF,74154,45979,    15.0,Ardivachar
W,600112,NR,47217,50695,    46.0,Ardmore
W,600113,NS,31347,78837,     5.0,Ardmore Mh
W,600114,NO,59005,57988,   131.0,Ardovie
W,600115,NJ,65927,26833,   202.0,Ardoyne
W,600116,NG,26624,43627,    78.0,Ardroag
W,600117,NM,99512,56850,   264.0,Ardsheal
W,600118,SE,38728,06104,   102.0,Ardsley
W,600119,SO,80527,70066,    54.0,Areley Common
W,600120,SH,82703,36947,   854.0,Arenig
W,600121,TQ,57019,28315,   185.0,Argos Hill Pub Pil S8126 Pass 02
W,600122,TQ,22090,95813,   145.0,Arkley Resr
W,600123,SJ,64575,00432,   229.0,Arlescott
W,600124,SE,45974,99727,   300.0,Arncliffe Wood S4413 T Courtney
W,600125,SK,60293,46768,   129.0,Arnold Lodge S4869 T Courtney
W,600126,SN,01287,15526,    96.0,Arnolds Hill
W,600127,SD,45600,77483,   159.0,Arnside Knott
W,600128,NY,52260,94855,   406.0,Arnton Fell
W,600129,SZ,54734,87216,   135.0,Arreton Down
W,600130,SP,74851,83197,   147.0,Arthingworth
W,600131,NT,27533,72947,   251.0,Arthurs Seat S3012 T Courtney
W,600132,NG,29996,64649,    23.0,Ascrib
W,600133,SP,19208,51250,    85.0,Ash Hill
W,600134,TF,02731,56019,    47.0,Ashby
W,600135,SP,55572,67980,   177.0,Ashby Grange
W,600136,SU,54620,51769,   153.0,Ashe Warren
W,600137,SP,70258,14014,   158.0,Ashendon Resr
W,600138,SJ,58702,39020,   128.0,Ashfields pil pub S4739 K Stevens 03 04
W,600139,SX,40366,83729,   190.0,Ashleigh
W,600140,SU,11497,07055,    55.0,Ashley Heath
W,600141,SU,82401,81103,   145.0,Ashley Hill
W,600142,SP,30872,58142,   101.0,Ashorne Park
W,600143,SK,35848,63637,   299.0,Ashover S1730 T Courtney
W,600144,SS,67585,02349,   205.0,Ashridge
W,600145,ST,67532,65390,   116.0,Ashton Hill
W,600146,ST,54528,71087,   129.0,Ashton Hill Golf Course
W,600147,SK,80182,46221,    26.0,Askerton Hill
W,600148,SK,31261,27091,    78.0,Askew Hill
W,600149,NM,39309,95223,   812.0,Askival
W,600150,SE,17104,51062,   301.0,Askwith Moor
W,600151,SP,99136,48556,    76.0,Astey Wood
W,600152,SO,78076,85786,   155.0,Astley
W,600153,SJ,56443,78144,    66.0,Aston Grange pri pil S2680 K Stevens
W,600154,SP,13952,57817,   117.0,Aston Grove
W,600155,SK,40733,30015,    73.0,Aston Hill
W,600156,TQ,43352,23782,    59.0,Atheralls Farm
W,600157,SP,88051,00329,   194.0,Atkins Farm Pri Pil Jd 02
W,600158,NS,42955,65774,    19.0,Auchans
W,600159,NR,79098,44262,   188.0,Auchenbreck
W,600160,NT,19122,55542,   299.0,Auchencorth Moss
W,600161,NJ,87046,37806,    79.0,Auchencruive
W,600162,NX,80627,94424,   373.0,Auchengibbert
W,600163,NS,44544,05598,   367.0,Auchenroy Hill
W,600164,NX,26388,94547,   315.0,Auchensoul
W,600165,NS,83700,08925,   420.0,Auchensow
W,600166,NJ,52414,48188,   135.0,Auchincrieve
W,600167,NS,49404,80452,   358.0,Auchineden Hill
W,600168,NJ,77090,57159,   134.0,Auchlinn
W,600169,NH,99371,28102,   471.0,Auchnahannet
W,600170,NG,83232,28948,   453.0,Auchtertyre Hill
W,600171,NS,48340,84834,   114.0,Auckeneck
W,600172,SJ,90635,96929,   100.0,Audenshaw Resr rem pri K Stevens 09 04
W,600173,TQ,05835,54192,    59.0,August Hill
W,600174,NN,59911,59525,   355.0,Aulich Hill
W,600175,ST,56668,89802,    43.0,Aust Cliff rem pub K Stevens
W,600176,SX,50570,57619,    96.0,Austin Fort
W,600177,NS,70290,70060,    98.0,Avenuehead
W,600178,NS,60900,18139,   331.0,Avisyard Hill
W,600179,SK,47807,44150,    72.0,Awsworth
W,600180,SK,03502,70613,   552.0,Axe Edge pub pil s2766 K Stevens
W,600181,SJ,10592,80318,   231.0,Axton rem pub K Stevens 05 04
W,600182,SD,72067,88613,   557.0,Aye Gill Pike
W,600183,SY,05505,90013,   159.0,Aylesbeare Common
W,600184,HU,67389,91452,    85.0,Baa Neap
W,600185,SK,68286,81835,    26.0,Babworth Farm s4831 T Courtney
W,600186,NH,22215,48952,   850.0,Bac An Eich
W,600187,SK,19763,90991,   538.0,Back Tor pub pil s2145 K Stevens
W,600188,HY,64234,40319,    50.0,Backaskaill
W,600189,SO,58338,38746,   195.0,Backbury Hill
W,600190,ND,20505,54122,   112.0,Backlass Hill
W,600191,NH,44107,41491,   306.0,Bad A Chlamhain Pub Pil Pass S7522 02
W,600192,NG,85766,36646,   395.0,Bad A' Chreamha
W,600193,NG,91280,87683,   274.0,Bad Chailleach
W,600194,NC,99850,55057,   290.0,Bad Mor
W,600195,ND,10604,49077,   124.0,Bad Na Caorach
W,600196,NC,71299,35306,   261.0,Bad Na Fainne
W,600197,SU,26352,94549,   158.0,Badbury Hill
W,600198,ST,96552,03097,    95.0,Badbury Rings
W,600199,SU,39962,20719,    57.0,Baddesley
W,600200,NO,20744,67882,   740.0,Badendun Hill Pub Pil Pass S6965 02
W,600201,NJ,43526,08893,   475.0,Baderonach Hill
W,600202,SO,21388,63646,   610.0,Badland Hill
W,600203,ST,16532,35155,   385.0,Bagborough Pub Pil Pass S1526 02
W,600204,ST,74495,56707,   157.0,Baggridge Farm
W,600205,SS,42334,40834,    94.0,Baggy Point
W,600206,ST,44979,45966,    72.0,Bagley Resr
W,600207,SK,09293,28084,   160.0,Bagots Park
W,600208,SK,44609,07697,   170.0,Bagworth
W,600209,NS,25843,52080,   335.0,Baidland Hill
W,600210,SE,15360,40482,   194.0,Baildon Common
W,600211,SE,14125,40072,   282.0,Baildon Hill
W,600212,SO,24423,72247,  8888.0,Bailey Hill Nm
W,600213,SD,59137,69534,   127.0,Baines Park Wood
W,600214,ST,94987,34008,   174.0,Bake Barn
W,600215,SO,26761,27089,   607.0,Bal Mawr
W,600216,NN,02769,10262,   526.0,Balantyre
W,600217,NH,62496,65278,     4.0,Balconie
W,600218,TQ,79957,12921,   139.0,Baldslow
W,600219,NO,22451,53600,   425.0,Balduff Hill
W,600220,NO,55931,95833,   256.0,Balfour
W,600221,NS,58953,90434,   193.0,Balgair Muir
W,600222,NO,27192,27117,    10.0,Balgay Farm
W,600223,NT,05738,63414,   210.0,Balgreen
W,600224,NR,78391,55586,   171.0,Balinakill
W,600225,NX,11215,63316,   194.0,Balker Moor
W,600226,SX,62592,96245,   258.0,Ball Farm
W,600227,SC,33623,72119,   122.0,Ballacregga Farm
W,600228,NS,53154,50176,   332.0,Ballageich Hill
W,600229,SZ,04418,81340,   117.0,Ballard Down
