H  SOFTWARE NAME & VERSION
I  GPSU 4.04,
S SymbolSet=0

H : Data Source Is Ordnance Survey
H : Please Acknowledge If Re-Posting
  - Pub = Public Access (Not Guaranteed)
  - Pri = On Private Land - Permission Reqd
  - Pil = Pillar Is Intact
  - Stu = Only Stump / Base Remains
  - Rem = No Sign Of Pillar
  - Unk = State Of Pillar Unknown
  - Source Of Access Etc Data
  - Pass = Os Passive Stns
  - Int = Internet Trawl
  - Nm = Not On Current 50K Map
  - Mh = Height Is From Map
  - Mc = Coordinates Are From Map
  

H R DATUM
M E   Ord Srvy Grt Britn,075, 5.7360400E+02, 1.1960020E-05,375,-111,431

H  COORDINATE SYSTEM
U  BRITISH GRID

W,601725,SO,37995,30135,   182.0,Cot Farm
W,601726,NJ,72924,18113,   148.0,Cot Town
W,601727,NZ,15793,14219,   141.0,Cote Hill
W,601728,SJ,83914,34286,   141.0,Cotes
W,601729,TL,39650,59258,    63.0,Coton
W,601730,SK,26974,15147,   126.0,Coton Park
W,601731,SK,51753,29863,    81.0,Cottagers Hill
W,601732,TQ,67394,28607,   115.0,Cottenden
W,601733,SE,11116,36552,   176.0,Cottingley Moor
W,601734,SU,52577,56649,   230.0,Cottingtons Hill
W,601735,SJ,59997,17702,    85.0,Cotwall
W,601736,SP,31874,80575,   121.0,Coundon Resr
W,601737,ND,23216,71087,    55.0,Couper Hill
W,601738,SX,90924,78993,   220.0,Court Bottom
W,601739,SS,91592,29714,   316.0,Court Down
W,601740,TQ,27985,08468,   137.0,Court Farm W Blatchington
W,601741,HY,50582,17728,    65.0,Court Hall
W,601742,SU,89705,13692,   178.0,Court Hill
W,601743,NJ,83985,33383,   109.0,Courtstone
W,601744,NT,01342,66550,   158.0,Cousland
W,601745,NT,33526,11921,   418.0,Coutlair Knowe
W,601746,SD,88453,72795,   624.0,Cow Close Fell
W,601747,ST,88628,40830,   209.0,Cow Down
W,601748,SD,69412,06500,   165.0,Cow Lane
W,601749,SU,00376,74204,   101.0,Cowage Farm
W,601750,SZ,15216,94647,     8.0,Cowards Marsh
W,601751,SP,98341,01202,   162.0,Cowcroft S4453 Pub Pil Jd 02
W,601752,NS,82626,80242,    59.0,Cowden Hill
W,601753,NS,54420,60449,    51.0,Cowglen Golf Course
W,601754,SK,35227,46818,   133.0,Cowhill
W,601755,SK,02156,92038,   411.0,Cown Edge Rocks pub rem K Stevens 
W,601756,SD,82349,20639,   440.0,Cowpe Lowe
W,601757,TQ,73196,51100,   129.0,Cox Heath
W,601758,SX,53068,76177,   442.0,Cox Tor
W,601759,SE,22064,24698,   136.0,Crab Trees
W,601760,TF,90855,39100,    65.0,Crabbs Castle
W,601761,TQ,15387,52661,   144.0,Crabtree Cottages
W,601762,TM,34273,71273,    50.0,Crabtree Field
W,601763,SO,63701,13330,   201.0,Crabtree Hill
W,601764,SJ,76517,10335,   141.0,Crackley Bank
W,601765,SU,43515,96725,    69.0,Cradle Farm Pri Pil G Nelson 02
W,601766,SX,36830,53953,   100.0,Crafthole
W,601767,TL,38600,63114,    42.0,Crafts Hill
W,601768,NY,19266,20364,   839.0,Crag Hill
W,601769,SD,69212,83319,   683.0,Crag Hill
W,601770,SD,56198,71835,   142.0,Cragg Lot
W,601771,NN,81277,69241,   492.0,Craig Bhagailteach
W,601772,SN,96340,57659,   431.0,Craig Chwefru
W,601773,SJ,05947,80389,   153.0,Craig Fawr pil pub s3535 K Stevens 05 04
W,601774,NO,49316,99433,   256.0,Craig Ferrar
W,601775,SH,80457,09953,   469.0,Craig Goch
W,601776,NX,97321,68371,    95.0,Craig Hill
W,601777,NN,94482,47774,   519.0,Craig Lochie
W,601778,NT,07452,17770,   553.0,Craig Maid
W,601779,NR,58960,79455,   290.0,Craig Mor
W,601780,NO,02217,38224,   403.0,Craig Obney
W,601781,NO,67283,89867,   318.0,Craig Of Dalfro
W,601782,SO,06620,20170,   763.0,Craig Pwllfa
W,601783,SN,98845,01440,   395.0,Craig Rhiw Ddu
W,601784,NN,98489,12130,   411.0,Craig Rossie
W,601785,SN,66545,49907,   475.0,Craig Twrch
W,601786,NJ,18871,10985,   711.0,Craig Veann
W,601787,SH,39810,94701,    91.0,Craig Wen
W,601788,NX,23608,73665,   322.0,Craigairie Fell
W,601789,NS,56827,76059,   126.0,Craigash
W,601790,NX,31890,56480,   131.0,Craigeach Fell
W,601791,NT,26115,87867,   103.0,Craigencalt  Pub Pil S3145 Pass 02
W,601792,NS,45932,70581,    56.0,Craigend
W,601793,NS,66231,67875,    96.0,Craigendmuir Stepps
W,601794,NX,33514,91082,   566.0,Craigenreoch
W,601795,NT,28790,75384,    18.0,Craigentinny Golf Course
W,601796,NS,29621,05755,   227.0,Craigfin Hill
W,601797,NS,67914,49600,   261.0,Craighall
W,601798,NO,44535,24424,    51.0,Craigie Hill
W,601799,NS,42248,32779,   155.0,Craigie Hill
W,601800,NX,30826,98603,   384.0,Craiginmoddie
W,601801,NS,48015,91143,   217.0,Craigivairn
W,601802,NO,61641,98358,   247.0,Craiglash
W,601803,NX,47074,96250,   524.0,Craiglee
W,601804,NX,46161,80137,   532.0,Craiglee
W,601805,NJ,53306,05431,   477.0,Craiglich
W,601806,NO,59354,96659,   218.0,Craigmore
W,601807,NR,98606,64588,    63.0,Craigmore
W,601808,NX,39242,73570,   287.0,Craigmurchie
W,601809,NS,44490,51686,   253.0,Craignought Hill
W,601810,NO,37696,39992,   455.0,Craigowl
W,601811,NS,42526,15756,   244.0,Craigs Of Kyle
W,601812,NS,25683,77137,   130.0,Craigs Top
W,601813,NT,05320,68465,   154.0,Craigshill
W,601814,SN,15875,09068,   139.0,Craig-Y-Borion
W,601815,SO,48600,08526,   243.0,Craig-Y-Dorth
W,601816,SN,90686,03150,   600.0,Craig-Y-Llyn
W,601817,NT,81106,19035,   456.0,Craik Moor
W,601818,SX,59239,71215,   446.0,Cramber Tor
W,601819,NT,87062,40086,    79.0,Cramondhill
W,601820,NO,91576,94058,    86.0,Cran Hill
W,601821,SX,73846,88924,   337.0,Cranbrook Castle Pub Rem 02
W,601822,TL,19903,55670,    58.0,Crane Hill
W,601823,TM,14702,43647,  8888.0,Crane Hill Nm
W,601824,SZ,38984,90860,    62.0,Cranmore
W,601825,NS,06643,66485,   139.0,Cranslagmorie Hill
W,601826,SX,18651,95815,   180.0,Crapps Beacon
W,601827,NR,98925,99282,   420.0,Crarae
W,601828,SO,27483,34810,   641.0,Craswall
W,601829,ST,90708,35681,   225.0,Cratt Hill Nm Mh
W,601830,NM,87060,57649,   853.0,Creach Bheinn
W,601831,NS,18667,91660,   657.0,Creachan Mor
W,601832,NC,12369,32075,   126.0,Creag A Bhraighe
W,601833,NH,65287,33344,   365.0,Creag A Chlachain
W,601834,NC,25906,53407,   155.0,Creag An Fhithich
W,601835,NH,93787,21404,   406.0,Creag An Fhithich
W,601836,NG,80929,58597,   322.0,Creag An Fhraoich
W,601837,NR,64785,50907,   101.0,Creag Bhan
W,601838,NM,63564,48530,   340.0,Creag Bhan Ard
W,601839,NG,41216,61286,   324.0,Creag Chragach
W,601840,NN,32257,82443,   659.0,Creag Dhubh
W,601841,NN,79226,24299,   302.0,Creag Each
W,601842,NN,63229,32728,   638.0,Creag Gharbh
W,601843,NC,69844,24016,   713.0,Creag Mhor
W,601844,NR,27366,69968,    77.0,Creag Mhor
W,601845,NR,92960,73484,   266.0,Creag Mhor
W,601846,NO,46106,95933,   407.0,Creag Na Slice
W,601847,NC,84108,23715,   388.0,Creag Nam Fiadh
W,601848,NR,51716,63070,    52.0,Creag Nan Caina
W,601849,NM,75936,72507,   498.0,Creag Nan Lochan
W,601850,NH,09659,75148,   807.0,Creag Rainich
W,601851,NC,27888,63803,   486.0,Creag Riabhach
W,601852,NN,55806,91392,   622.0,Creag Ruadh
W,601853,ND,04082,18567,   403.0,Creag Thoraraidh
W,601854,NN,06811,25255,   222.0,Creag Thulach
W,601855,NN,70827,32322,   879.0,Creag Uchdag
W,601856,NH,65957,92123,   335.0,Creag Vallich
W,601857,NJ,10424,24178,   722.0,Creagan A Chaise
W,601858,NN,10238,03294,   326.0,Creagan An Eich
W,601859,NS,26313,98247,   292.0,Creagan Hill
W,601860,NC,41600,19719,   392.0,Creanich Hill
W,601861,NX,46177,60316,     5.0,Cree
W,601862,SY,92142,82398,   194.0,Creech Barrow
W,601863,ST,66632,36577,   200.0,Creech Hill
W,601864,SJ,89728,27394,   125.0,Creswell
W,601865,SY,65267,96987,   189.0,Crete Hill
W,601866,NS,26553,68578,   442.0,Creuch Hill
W,601867,NR,86358,62860,   422.0,Crevelees
W,601868,SN,82838,14191,   423.0,Cribarth
W,601869,SD,79947,24035,   401.0,Cribden Hill
W,601870,SK,34365,55398,   286.0,Crich Mount S1719 T Courtney
W,601871,NT,38910,60633,   245.0,Crichton Mains
W,601872,SO,06439,40804,   415.0,Crickadarn
W,601873,NX,95725,61868,   570.0,Criffell S1557 Pub Pil Pass 02
W,601874,TF,64840,04270,    36.0,Crimplesham S2152 Pri Pil Pass 02
W,601875,SP,21767,46204,    84.0,Crimscote Down
W,601876,SD,74036,68458,   157.0,Crina Bottom Farm
W,601877,SS,92872,11591,   241.0,Crockers Down
W,601878,SZ,48951,92470,    67.0,Crockers Pit
W,601879,ST,20843,82795,    80.0,Croes Cadarn
W,601880,SM,82154,30247,   122.0,Croes-Goch
W,601881,SP,51008,96682,   128.0,Croft
W,601882,NN,89692,15426,    86.0,Crofthead
W,601883,NJ,61203,42365,   229.0,Crofts Of Hillhead
W,601884,NF,97475,72422,   154.0,Crogary Na Hoe
W,601885,NG,76404,52076,   494.0,Croic Bheinn
W,601886,NN,77612,95085,   640.0,Croidh - La
W,601887,SJ,93372,67696,   404.0,Croker Hill rem pri  K Stevens
W,601888,NJ,13963,29857,   710.0,Cromdale
W,601889,SJ,96677,31079,   182.0,Cromer Hill
W,601890,NN,78908,11999,   405.0,Cromlet
W,601891,NJ,03707,22298,   459.0,Cromwells Hill
W,601892,SC,19234,67017,   164.0,Cronk Ny Arrey
W,601893,SC,22498,74673,   437.0,Cronk Ny Arrey Laa
W,601894,SD,98749,55883,   415.0,Crook Rise Crag Top
W,601895,SO,87443,52293,    87.0,Crookbarrow Hill
W,601896,SU,31575,71963,   164.0,Crooked Soley Mh
W,601897,NJ,57770,18714,   191.0,Crookmore Farm
W,601898,SU,87869,45951,   163.0,Crooksbury Hill
W,601899,TA,10512,76102,   101.0,Croom Acre
W,601900,SK,66830,34884,    95.0,Cropwell Wolds
W,601901,NY,07490,38247,    86.0,Crosby pil pri s5673 P Whittaker 08 04
W,601902,NY,45804,60340,    32.0,Crosby Home Farm
W,601903,SX,76596,94542,   218.0,Cross Farm
W,601904,NY,68734,34322,   893.0,Cross Fell S2979 Pub Pil Pass 02
W,601905,SN,19439,22690,   202.0,Crosshands
W,601906,TQ,55752,21730,   172.0,Cross-In-Hand Mills
W,601907,SE,10630,13990,   273.0,Crossland Heath
W,601908,SU,04309,32473,   130.0,Crouch Down
W,601909,SP,43997,39257,   170.0,Crouch Hill
W,601910,NY,95924,40411,   466.0,Crow Coal Hill
W,601911,SE,01917,22887,   384.0,Crow Hill
W,601912,SD,96062,10522,   392.0,Crow Knowl S2768 Pub Pil Pass 02
W,601913,SE,28183,30759,    86.0,Crow Nest
W,601914,SK,40045,37854,    91.0,Crow Wood Farm
W,601915,SW,66427,35068,   223.0,Crowan Beacon
W,601916,TQ,51169,30761,   240.0,Crowborough
W,601917,SU,48891,19304,    55.0,Crowd Hill
W,601918,NH,98519,59143,    39.0,Crowhall
W,601919,TL,49109,79318,    16.0,Crowhall Field
W,601920,TM,01064,70200,    67.0,Crowland Hall
W,601921,NG,69903,34047,   115.0,Crowlin
W,601922,TM,25514,70170,    63.0,Crown Corner
W,601923,TF,16176,30932,     5.0,Crown Farm
W,601924,SP,34876,62733,   101.0,Crown Hill
W,601925,SX,48654,59197,   137.0,Crown Hill Fort
W,601926,SJ,77778,31446,   175.0,Croxton
W,601927,SS,98672,39446,   382.0,Croydon Hill
W,601928,TL,30791,49369,    78.0,Croydon Hill
W,601929,NS,04945,93853,   508.0,Cruach An Lochain
W,601930,NS,12522,94706,   569.0,Cruach Bhuidhe
W,601931,NR,82859,83647,   319.0,Cruach Brenfield
W,601932,NR,73250,68808,   265.0,Cruach Na Gaibhre
W,601933,NR,68408,98071,   297.0,Cruach Na Seilcheig
W,601934,NM,82320,15112,   333.0,Cruach Nam Fearna
W,601935,NN,14855,05756,   565.0,Cruach Nan Capull
W,601936,NS,08392,82042,   607.0,Cruach Neuran
W,601937,NM,69065,04463,   450.0,Cruach Scarba
W,601938,NN,31268,05872,   415.0,Cruach Tairbeirt
W,601939,NM,34789,47379,   216.0,Cruachan Treshnish
W,601940,NR,74331,42956,   365.0,Cruach-Mhic-An-T-Saoir
W,601941,NN,06388,17062,   570.0,Cruaiche
W,601942,NN,66855,92455,   590.0,Cruban Beag
W,601943,SN,32185,34086,   326.0,Crug Gorllwyn
W,601944,SN,31250,31234,   290.0,Crug Ieuan S5811 Pri Pil Pass 02
W,601945,SO,26226,22675,   550.0,Crug Mawr
W,601946,SN,72225,45555,   460.0,Crugiau Ladies
W,601947,SN,92674,68756,   533.0,Crugyn Ci
W,601948,NR,55906,84232,   315.0,Cruib
W,601949,NN,16457,80527,   229.0,Cruim Leacainn
W,601950,NY,34664,91367,   480.0,Crumpton Hill
W,601951,SO,90096,66042,    78.0,Crutch Hill
W,601952,SD,72211,60308,   430.0,Crutchenber Fell
W,601953,NG,69907,56592,    93.0,Cuaig
W,601954,SW,55180,27898,    62.0,Cudden Point Pub Pil Int 02
W,601955,HY,35816,15140,   146.0,Cuiffie Hill
W,601956,NC,16203,11918,   851.0,Cul Mor
W,601957,NO,19349,98825,   900.0,Culardoch
W,601958,NH,98695,62348,    30.0,Culbin
W,601959,NJ,41598,01092,   478.0,Culblean Hill
W,601960,SS,83776,46636,   434.0,Culbone Hill
W,601961,NO,03162,25338,    90.0,Culdeesland
W,601962,NX,71365,54426,   146.0,Culdoach
W,601963,NY,60023,30105,   153.0,Culgaith
W,601964,NH,77375,48013,   130.0,Culloden
W,601965,ST,11000,15077,   250.0,Culmstock Beacon
W,601966,NG,51809,62746,   109.0,Culnaknock S9441 Pub Pil Pass 02
W,601967,HU,26648,45987,   118.0,Culswick Hill
W,601968,NT,02691,96276,   264.0,Cult Hill
W,601969,NT,05284,29082,   749.0,Culter Fell
W,601970,NO,09637,15203,   314.0,Culteuchar Hill
W,601971,NM,99674,86454,   962.0,Culvain
W,601972,NX,31063,65011,   214.0,Culvennan Fell
W,601973,SD,08427,97630,    26.0,Cumblands
W,601974,NY,14806,66051,    30.0,Cummertrees
W,601975,NY,56302,52500,   482.0,Cumrew Fell
W,601976,SE,03246,14091,   427.0,Cupwith Hill
W,601977,NU,10917,21046,   215.0,Curleheugh
W,601978,NO,83909,91766,   246.0,Curlethney
W,601979,NY,98587,18034,   304.0,Currack Rigg
W,601980,TL,77574,43431,    85.0,Cutbush Farm
W,601981,SD,91401,01502,  8888.0,Cutler Hill Nm
W,601982,SP,10489,30287,   305.0,Cutsdean Hill
W,601983,NO,63758,90200,   157.0,Cutties Hillock
W,601984,NJ,18033,63596,   127.0,Cutties Hillock
W,601985,NJ,18515,63306,   117.0,Cutties Hillock East
W,601986,SO,08695,13733,   618.0,Cwar-Yr-Ystrad
W,601987,SN,48698,21963,   175.0,Cwm
W,601988,SN,29329,24444,   214.0,Cwm Cloch
W,601989,SN,38648,30716,   252.0,Cwm Duad
W,601990,SN,77715,11495,   182.0,Cwm Giedd
W,601991,SO,26452,71190,   363.0,Cwm Gilla
W,601992,SO,42977,88643,   269.0,Cwm Head Farm
W,601993,SS,61477,93981,   176.0,Cwm Llwyd
W,601994,SO,01771,43480,   438.0,Cwm Owen
W,601995,SO,27040,75485,   400.0,Cwm Sanaham Hill Mh
W,601996,SO,47503,05550,   248.0,Cwmcarvan Hill
W,601997,SN,50641,19315,   136.0,Cwm-Du
W,601998,SN,84560,49594,   498.0,Cwm-Irfon
W,601999,SH,62192,18476,   461.0,Cwmmaria
W,602000,SN,74939,75014,   388.0,Cyrnau Bach
W,602001,SJ,21367,49648,   562.0,Cyrn-Y-Brain pub pil S1546 K Stevens
W,602002,NT,54712,51236,   383.0,Dabshead Hill
W,602003,ST,04100,20237,   255.0,Daggeridge Farm
W,602004,TQ,55099,92374,    75.0,Dagnam Park Mh
W,602005,TQ,55062,92397,    76.0,Dagnam Park New
W,602006,SX,91128,65475,    87.0,Daison Rock
W,602007,SE,12792,34873,   243.0,Daisy Hill
W,602008,TF,40566,70711,    90.0,Dalby Bar  S6059 T Courtney
W,602009,NN,06943,05892,   175.0,Dalchenna
W,602010,NO,04419,28515,   112.0,Dalcrue
W,602011,SJ,89840,76217,   149.0,Dalebrow pri pil S2738 K Stevens
W,602012,TL,84348,51175,    93.0,Dales Farm
W,602013,NO,31204,02492,   135.0,Dalginch
W,602014,NT,13538,66936,   246.0,Dalmahoy Hill Pub Pil Int 02
W,602015,SU,10610,18138,   105.0,Damerham Knoll
W,602016,TL,78332,05371,   106.0,Danbury
W,602017,NZ,73626,09255,   299.0,Danby Beacon S4255 Pub Pil Pass 02
W,602018,NZ,70788,05869,   312.0,Danby Moor
W,602019,SU,32683,37690,   129.0,Danebury Hill
W,602020,NY,96812,95555,   375.0,Darden Pike
W,602021,SS,74730,93799,   183.0,Daren Wen
W,602022,SJ,87699,35569,   161.0,Darlaston
W,602023,NT,06512,53139,   448.0,Darlees Rig
W,602024,SK,75832,72215,    48.0,Darlton S4631 Pub Pil Pass 02
W,602025,NX,80347,81589,   373.0,Darngarroch
W,602026,TQ,70903,19520,   162.0,Darwell Wood
W,602027,SD,67857,21591,   372.0,Darwen Moor
W,602028,NN,78399,61831,   493.0,Dathbhuidhe
W,602029,ST,05109,83470,   165.0,Davidstown
W,602030,TQ,21675,46851,    69.0,Dawes Green
W,602031,ST,19030,21614,    85.0,Daws Green
W,602032,TM,38827,80523,    42.0,Dawsons Farm
W,602033,SU,50621,27541,   143.0,Deacon Hill
W,602034,TL,12599,29818,   173.0,Deacon Hill
W,602035,SE,12445,01728,   500.0,Dead Edge End
W,602036,NM,94682,28649,   383.0,Deadh Choimhead
W,602037,NY,62570,97174,   569.0,Deadwater Moor
W,602038,SZ,53327,76803,   141.0,Dean Farm Whitwell
W,602039,NY,06874,23411,   144.0,Dean Moor
W,602040,ST,12090,33717,   158.0,Deans Cross
W,602041,SE,42027,03081,    24.0,Dearne Ings
W,602042,NS,65694,58215,   184.0,Dechmont Hill
W,602043,NT,03391,69746,   217.0,Dechmont Law
W,602044,TA,05581,18731,    49.0,Deepdale
W,602045,TF,16288,16264,     3.0,Deeping Fen
W,602046,HY,56891,07388,    87.0,Deerness
W,602047,NJ,80597,45118,   179.0,Deers Hill
W,602048,SJ,54321,69626,   176.0,Delamere pil pri 2985 K Stevens
W,602049,SE,14813,27996,   218.0,Delf Hill
W,602050,SE,01704,47843,   276.0,Delph Farm
W,602051,TM,16142,27802,    33.0,Dengewell Hall
W,602052,NO,08466,28006,    75.0,Denmarkfield
W,602053,NZ,21120,18422,    88.0,Denton Cross Roads
W,602054,TQ,48618,03329,   141.0,Denton Hill
W,602055,TL,75330,91779,    38.0,Denton Lodge
W,602056,SW,90150,67228,   185.0,Denzell Downs
W,602057,NM,44346,52104,   163.0,Dervaig
W,602058,TL,73493,63076,   104.0,Desning Hall
W,602059,NO,03743,48529,   510.0,Deuchary Hill
W,602060,NT,62693,72236,   297.0,Deuchrie Dod Mh
W,602061,TQ,25737,10841,   217.0,Devils Dyke
W,602062,ST,54749,53650,   294.0,Devils Punch Bowl
W,602063,TF,40661,73018,  8888.0,Dexthorpe Nm
W,602064,NG,61711,09061,   293.0,Dhughaill
W,602065,ST,40776,71957,    90.0,Dial Hill
W,602066,SU,39655,08632,    31.0,Dibden
W,602067,SY,75792,88728,    62.0,Dick O' Th' Banks
W,602068,NS,50157,45400,   241.0,Dicks Law
W,602069,NZ,14597,32763,   192.0,Diggins
W,602070,SJ,97393,43155,   253.0,Dilhorne pil pub s2030 K Stevens 08 04
W,602071,NY,98160,62138,   187.0,Dilston
W,602072,TA,39598,20679,    26.0,Dimlington
W,602073,NY,45973,95992,   530.0,Din Fell
W,602074,SH,43673,56436,    35.0,Dinas Dinlle
W,602075,SN,00555,41154,   142.0,Dinas Island
W,602076,SO,53626,37371,   138.0,Dinedor Hill
W,602077,NT,54139,79085,    35.0,Dingleton
W,602078,SO,46222,68043,   292.0,Dionscourt Hill Pil Pri S7893 G Jones 03 03 
W,602079,SH,66126,23409,   751.0,Diphwys
W,602080,SX,73004,57999,   185.0,Diptford
W,602081,NT,69809,54924,   399.0,Dirrington Great Law
W,602082,TQ,33163,13063,   248.0,Ditchling S3701 Pub Pil Pass 02
W,602083,SX,16736,98937,   165.0,Dizzard Point
W,602084,NY,32740,96882,   464.0,Dod Fell
W,602085,NU,00686,31664,   200.0,Dod Law
W,602086,SE,48053,94576,   400.0,Dodd End
W,602087,SD,84095,84587,   668.0,Dodd Fell
W,602088,NT,98906,35872,   180.0,Doddington
W,602089,SJ,36571,60643,    18.0,Dodleston Gorse pri pil s3100 K Stevens 04 04
W,602090,SX,00187,39390,   114.0,Dodman
W,602091,NT,41872,63379,   224.0,Dodridge Law
W,602092,SD,67673,38174,   145.0,Doe Hill
W,602093,TQ,72879,92673,    39.0,Doeshill
W,602094,TQ,47954,92538,    85.0,Dog Kennel Hill
W,602095,TF,21683,53022,     5.0,Dogdyke
W,602096,TF,08745,15952,    51.0,Dole Wood Resr
W,602097,NT,17808,27835,   818.0,Dollar Law
W,602098,NT,68173,14801,   234.0,Dolphinston
W,602099,SO,01535,61170,   380.0,Dol-Y-Fan Hill
W,602100,SK,44358,26373,    97.0,Donington Resr
W,602101,NT,68482,75662,  8888.0,Doon Hill 177
W,602102,NX,40394,65382,    80.0,Doon Hill
W,602103,SK,59433,47500,   147.0,Dorket Head S4664 T Courtney
W,602104,SX,53803,55703,    96.0,Dorsmouth Rock
W,602105,SU,57598,68216,   114.0,Douai
W,602106,NS,44724,77666,   375.0,Doughnot Hill
W,602107,SH,59035,66088,   397.0,Douglas Hill
W,602108,ST,63802,41875,   215.0,Doulting
W,602109,NS,29061,97139,   734.0,Doune Hill
W,602110,NT,79562,02298,   415.0,Dour Hill
W,602111,TM,12051,88827,    59.0,Dove Farm
W,602112,NT,12293,85531,    99.0,Dover Heights
W,602113,TR,23807,37794,   171.0,Dover Hill
W,602114,SP,14001,39875,   225.0,Dovers Hill
W,602115,ST,87557,09546,   128.0,Down End Farm
W,602116,NZ,34985,60217,  8888.0,Down Hill Nm
W,602117,SU,54508,91773,    76.0,Down Hill Pub Rem G Nelson 02
W,602118,SS,44834,01775,   194.0,Downs
W,602119,SP,20940,16321,   202.0,Downs Barn
W,602120,SP,62000,80326,   170.0,Downton Hill
W,602121,SX,69517,91833,   275.0,Drascombe
W,602122,SJ,98893,40278,   203.0,Draycott pil pub s2020 K Stevens 08 04
W,602123,SC,28498,65708,    24.0,Dreswick Point
W,602124,NO,27115,73590,   948.0,Driesh Pub Pil Int 02
W,602125,NF,77903,40497,    87.0,Drimore
W,602126,NR,85198,94344,   159.0,Drimvore
W,602127,NT,48290,18582,   318.0,Drinkstone Hill
W,602128,NO,75575,81527,   223.0,Droop Hill
W,602129,SO,81020,74261,    82.0,Droppingwell Farm Nm Mh
W,602130,SU,59361,18380,   139.0,Droxford
W,602131,SD,71642,15793,   329.0,Druidical Circle
W,602132,NH,48917,61322,   358.0,Druim A Chuilein
W,602133,NR,76501,99810,    61.0,Druim Beithe
W,602134,NN,05517,81780,   717.0,Druim Fada
W,602135,NM,64703,22563,   406.0,Druim Fada
W,602136,NM,68837,66024,   128.0,Druim Garbh
W,602137,NM,84705,66407,   436.0,Druim Glas
W,602138,NH,13467,03394,   541.0,Druim Na H-Achlaise
W,602139,NM,26423,64093,    48.0,Druim Nan Carn
W,602140,NC,50929,58870,   263.0,Druim Nan Cliar
W,602141,NH,13096,07696,   789.0,Druim Nan Cnamh
W,602142,NN,09005,71315,   287.0,Druimarbin S9716 Pub Pil Jd 02
W,602143,SN,97933,44744,   474.0,Drum Ddu
W,602144,SK,37521,42129,   157.0,Drum Hill
W,602145,NO,20703,04521,   318.0,Drumain
W,602146,NH,63674,38234,   212.0,Drumashie
W,602147,NS,48463,87930,    70.0,Drumbeg
W,602148,NS,83658,69627,   236.0,Drumbow Resr
W,602149,NO,45938,13205,   217.0,Drumcarrow Craig Pub Pil Int 02
W,602150,NO,64206,68462,    45.0,Drumhendry
W,602151,NJ,79190,00203,   134.0,Drumhill
W,602152,NH,79715,51909,    33.0,Drumine
W,602153,NN,73818,45419,   455.0,Drummond Hill
W,602154,NS,51116,71776,    73.0,Drumry Wood
W,602155,SK,84658,46463,    48.0,Dry Doddington
W,602156,TQ,43200,41606,   173.0,Dry Hill
W,602157,NY,91335,44914,   561.0,Dry Rigg
W,602158,SN,86226,58376,   642.0,Drygarn
W,602159,TQ,01885,09216,   106.0,Drylodge Plantation
W,602160,NM,79835,21584,   194.0,Duachy
W,602161,NM,75173,34893,    43.0,Duart
W,602162,NM,95851,03537,   460.0,Dubh Airidh
W,602163,NR,48948,68264,   531.0,Dubh Beinn
W,602164,SD,72826,26394,   217.0,Duckworth Hill pil s4612 I Smith 10 04
W,602165,SO,68659,64637,   220.0,Dudhill Farm
W,602166,SM,90705,23142,   179.0,Dudwell Mountain
W,602167,NJ,97883,37805,   174.0,Dudwick
W,602168,NY,72492,27521,   693.0,Dufton
W,602169,SK,68047,60000,   118.0,Dukes Wood
W,602170,ST,56789,44328,   135.0,Dulcote Hill
W,602171,NN,79998,50017,   475.0,Dull Wood
W,602172,NS,39933,74499,    75.0,Dumbarton Castle
W,602173,NS,57353,81468,   508.0,Dumbreck Hill
W,602174,NS,42056,74662,   167.0,Dumbuck
W,602175,NT,24751,02727,   359.0,Dumfedling Hill
W,602176,NT,07592,96506,   379.0,Dumglow
W,602177,SU,60328,45949,   204.0,Dummer Clump
W,602178,ST,17601,04009,   261.0,Dumpdon S1709 Pub Pil Pass 02
W,602179,SK,94962,26995,   120.0,Dumpling Farm
W,602180,NS,83570,97670,   419.0,Dumyat
W,602181,NG,57909,39506,   444.0,Dun Caan
W,602182,NN,10317,10588,   322.0,Dun Corr-Bhile
W,602183,NH,71850,39289,   289.0,Dun Davie
W,602184,NH,53314,24127,   284.0,Dun Garbh
W,602185,NO,66456,59545,    51.0,Dun Hill
W,602186,NM,28404,25235,   101.0,Dun Island
W,602187,NN,03491,01491,   360.0,Dun Leacainn
W,602188,NH,53434,42723,   173.0,Dun Mor
W,602189,NS,04623,80371,   405.0,Dun Mor
W,602190,NR,75775,57200,   143.0,Dun Skeig
W,602191,NH,62684,43317,   282.0,Dunain Hill
W,602192,NX,36075,96471,   356.0,Dunamoddie
W,602193,NC,26102,74059,   163.0,Dunan Mor
W,602194,NM,47079,35451,   377.0,Dunan Nan Nighean
W,602195,NM,48232,90273,   336.0,Dunan Thalasgair (Eigg)
W,602196,NN,02376,42245,   810.0,Dunaneach
W,602197,NO,28710,16433,   216.0,Dunbog Hill
W,602198,ND,40528,73270,    64.0,Duncansby Head
W,602199,NS,50163,55971,   204.0,Duncarnock
W,602200,ST,82595,22599,   210.0,Duncliffe Hill Mh
W,602201,NS,47083,77496,   401.0,Duncolm Hill
W,602202,ST,72352,61036,   178.0,Duncorn Hill
W,602203,NS,43557,85935,   142.0,Duncryne S5039 Pub Pil Pass 02
W,602204,NN,14104,10862,   378.0,Dundarave
W,602205,NR,81827,90736,   214.0,Dundardry
W,602206,NO,39144,31334,   174.0,Dundee Law
