I  GPSU 4.15
W EW3602 NY 72107 00239 C     521.0 Harter Fell (5,Hu)
W EW2715 NY 79516 36292 C     718.0 Harwood Common (N)
W S10109 SD 87700 89800 C     240.0 Hawes Info Centre carpk (S)
W EW3584 SD 67270 99670 C     578.0 Hazelgill Knott (5)
W EW3617 SE 03745 85990 C     553.0 Height of Hazely [Carlton Moor] (5,Hu)
W S10091 NY 88500 28700 C     300.0 High Force car park (S)
W EW2801 SD 84555 78430 C     602.0 High Green Field Knott (sHew,5)
W EW3600 NY 87685 08870 C     522.0 High Greygrits (5)
W EW2719 NY 80207 01264 C     709.0 High Seat (Hew,N,Hu)
W S10090 NY 73546 20777 C     240.0 Hilton village road end (S)
W EW3580 NY 68505 00835 C     586.0 Hooksey (5)
W EW2773 NZ 00300 07100 C     554.0 Hoove (Ma,5)
W EW2798 SD 89440 76950 C     609.0 Horse Head Moor (xMa,sHew,5)
W EW3604 NY 98523 44891 C     519.0 Horseshoe Hill (5)
W S10111 SD 92700 78200 C     230.0 Hubberholme village roadside (S)
W EW2726 SD 80915 99103 C     689.0 Hugh Seat (sHew,N)
W EW2780 SD 74120 74560 C     724.0 Ingleborough (Ma,Hew,N)
W EW3588 NY 83735 18800 C     563.0 Iron Band (5)
W EW3585 SD 68840 99275 C     574.0 Kensgriff (5)
W S10110 SD 96880 72270 C     210.0 Kettlewell carpk (S)
W EW2738 NY 81920 44845 C     673.0 Killhope Law (Hew,N)
W S10096 NY 80800 43200 C     530.0 Killhopehead Bridge roadside (S)
W S10106 SD 70688 79073 C     300.0 Kingsdale by Yordas Cave roadside (S)
W EW2774 SD 89980 99705 C     499.0 Kisdon (Ma)
W EW2710 NY 72140 30235 C     794.0 Knock Fell (Hew,N)
W EW5303 NY 68600 28200 C     398.0 Knock Pike (Hu)
W EW5302 NY 64700 09200 C     412.0 Knott (Hu)
W EW2733 SD 73134 91938 C     676.0 Knoutberry Haw (sHew,N)
W EW2742 NY 80250 42075 C     668.0 Knoutberry Hill (xN)
W EW5316 SE 21000 51400 C     292.0 Lindley Moor (Hu)
W EW3609 SD 63765 98545 C     500.0 Linghaw (5)
W EW2709 NY 70440 33010 C     842.0 Little Dun Fell (Hew,N)
W EW3589 NY 76645 00995 C     559.0 Little Fell (5)
W EW2713 NY 78094 22283 C     748.0 Little Fell (Hew,N)
W EW2743 SD 80851 97141 C     667.0 Little Fell (Hew,N)
W EW2800 SE 02890 77690 C     604.0 Little Whernside (sHew,5)
W EW2727 NY 84283 25243 C     686.0 Long Crag (xN)
W EW2762 NY 77008 19821 C     620.0 Long Fell (xN)
W EW2746 NY 72385 37300 C     658.0 Long Man Hill (N)
W EW2734 SD 87904 95040 C     675.0 Lovely Seat (Ma,Hew,N)
W EW2712 NY 77166 29079 C     767.0 Meldon Hill (Hew,N)
W EW2718 NY 65215 38000 C     709.0 Melmerby Fell (Hew,N)
W EW3612 SE 04412 70415 C     575.0 Meugher (5)
W EW2711 NY 80605 24550 C     788.0 Mickle Fell (Ma,Hew,N,CoH,CoA,CoU)
W EW2768 NY 86250 43210 C     612.0 Middlehope Moor [Burtree Fell] (Hew,N)
W S10107 SD 78000 88100 C     500.0 Minor rd E of Dent stn roadside (S)
W S10108 SD 84300 71500 C     420.0 Minor rd to Littondale roadside (S)
W EW3601 NY 87165 11560 C     522.0 Moudy Mea (5)
W S10101 SD 91000 97800 C     250.0 Muker village car park (S)
W EW2735 NY 75320 24625 C     675.0 Murton Fell (Hew,N)
W EW2929 NY 75815 24070 C     673.0 Murton Fell (B&L GR) (O)
W EW3576 NY 73487 23103 C     594.0 Murton Pike (5)
W EW2731 NY 79350 40880 C     678.0 Nags Head (xN)
W EW3591 NY 80297 05382 C     547.0 Nateby Common [Tailbridge Hill] (5)
W EW3613 SD 97695 81785 C     573.0 Naughtberry Hill (5)
W S10097 NY 78100 43700 C     440.0 Nenthead car park (S)
W EW5304 NY 71600 07800 C     382.0 Nettle Hill (Hu)
W EW2745 NY 82544 06109 C     662.0 Nine Standards Rigg (Ma,Hew,N)
W EW2748 NY 93845 33080 C     656.0 Outberry Plain (xN)
