I  GPSU 4.15
W EW2648 SD 15188 91046 C     549.0 Buck Barrow (WO,5,B)
W EW3736 NY 25278 07760 C     606.0 Buck Pike (Mickleden) (B)
W EW3865 SD 26232 97224 C     744.0 Buck Pike - Seathwaite Fell (B)
W EW2497 NY 13589 06076 C     405.0 Buckbarrow (W,B)
W EW3809 NY 06928 12598 C     320.0 Burn Edge (B)
W EW2649 SD 15136 92452 C     543.0 Burn Moor (WO,B)
W EW3706 NY 28311 32862 C     595.0 Burn Tod (B)
W EW2484 NY 11009 20950 C     475.0 Burnbank Fell (W,B)
W EW2679 SD 26079 85873 C     298.0 Burney (WO,Hu)
W EW3723 NY 18862 28336 C     318.0 Burthwaite Heights (B)
W S10058 NY 17500 17100 C     120.0 Buttermere village N carpark (S)
W S10063 NY 17300 16900 C     110.0 Buttermere village S carpark (S)
W EW3322 NY 19600 37155 C     289.0 Caermote Hill (WO)
W EW2472 NY 30187 10452 C     537.0 Calf Crag (W,5,B)
W EW2560 NY 33072 21135 C     660.0 Calfhow Pike (xN,B)
W EW3843 NY 43216 02884 C     445.0 Capple Howe (B)
W EW2593 NY 50844 03540 C     512.0 Capplebarrow (WO,B)
W EW2325 NY 25495 28091 C     746.0 Carl Side (Hew,N,W,B)
W EW3568 NY 11721 20311 C     544.0 Carling Knott (5,B)
W EW2336 NY 34168 33643 C     663.0 Carrock Fell (Hew,N,W,B)
W S10053 NY 32800 32700 C     290.0 Carrock Mine rd (S)
W EW2674 SD 32527 94335 C     314.0 Carron Crag (WO,B)
W EW2510 NY 24930 15945 C     298.0 Castle Crag (W)
W EW3852 NY 46900 12700 C     395.0 Castle Crag (Mardale) (B)
W EW3777 NY 29985 18876 C     421.0 Castle Crag (Shoulthwalte) (B)
W EW3754 NY 30771 07584 C     500.0 Castle How (B)
W EW3860 NY 32175 19672 C     339.0 Castle Rock (B)
W EW2490 NY 24406 19862 C     451.0 Catbells (W,B)
W EW2518 NY 34815 15824 C     890.0 Catstye Cam (Hew,N,W,B)
W EW3816 NY 41282 10084 C     755.0 Caudale Moor - John Bell's Banner (B)
W EW2442 NY 21874 20854 C     637.0 Causey Pike (Hew,N,W,B)
W EW2651 SD 23043 94452 C     529.0 Caw (WO,5,B,Hu)
W EW2425 NY 13197 11003 C     697.0 Caw Fell (sHew,N,W,B)
W EW2683 SD 38204 97344 C     270.0 Claife Heights (Ma,WO)
W EW2356 NY 15920 35255 C     245.0 Clints Crags (WO)
W EW2547 NY 33393 22539 C     726.0 Clough Head (Hew,N,W,B,Hu)
W EW3858 NY 48100 03900 C     365.0 Cocklaw Fell (B)
W EW3709 NY 25925 31440 C     505.0 Cockup (B)
W EW2410 NY 28905 09077 C     730.0 Codale Head (N,B)
W EW3813 NY 35866 12084 C     823.0 Cofa Pike (B)
W EW2511 NY 05800 09200 C     293.0 Cold Fell (WO)
W EW2422 NY 26290 03615 C     701.0 Cold Pike (Hew,N,W,B)
W EW2433 NY 25633 03724 C     670.0 Cold Pike Far West Top (N)
W EW2429 NY 25858 03584 C     683.0 Cold Pike West Top (sHew,N)
W EW3733 NY 28952 12890 C     675.0 Coldbarrow Fell - High Saddle (B)
W EW2431 NY 25333 10884 C     676.0 Combe Door Top (N)
W EW2408 NY 24954 10942 C     735.0 Combe Head (sHew,N,B)
W EW3828 NY 38242 20470 C     552.0 Common Fell (B)
W S10070 SD 29900 97600 C      90.0 Coniston Old Stn carpark (S)
W EW3702 NY 31085 32736 C     627.0 Coomb Height (B)
W EW2476 NY 09723 14386 C     523.0 Crag Fell (W,5,B,Hu)
W EW2374 NY 19268 20363 C     839.0 Crag Hill [Eel Crag] (Hew,N,W,B,Hu)
W EW3725 NY 24997 05151 C     815.0 Crinkle Crags - Gunson Knott [Fifth Crinkle] (B)
W EW2777 NY 25006 04986 C     830.0 Crinkle Crags - Gunson Knott [Third Crinkle] (xN,B)
W EW2371 NY 24859 04868 C     859.0 Crinkle Crags - Long Top [Second Crinkle] (Hew,N,W,B,Hu)
W EW3724 NY 24972 05059 C     832.0 Crinkle Crags - [Fourth Crinkle] (B)
W EW2376 NY 25006 04558 C     834.0 Crinkle Crags South Top [First Crinkle] (Hew,N,B)
W EW3873 SD 19999 98755 C     469.0 Crook Crag (B)
W EW5295 SD 44719 96053 C     256.0 Crook Knott (Hu)
W EW2699 SD 49100 94300 C     207.0 Cunswick Scar (WO)
W EW2400 NY 22303 15332 C     753.0 Dale Head (Ma,Hew,N,W,B)
W EW3791 NY 12826 22534 C     391.0 Darling Fell (B)
W EW3786 NY 20300 02600 C     397.0 Dawsonground Crags (B)
W EW3872 NY 22240 00218 C     525.0 Demming Crag (B)
W EW2505 NY 03700 13000 C     345.0 Dent (WO)
W EW2504 NY 04155 12895 C     352.0 Dent [Long Barrow] (Ma)
W EW2441 NY 16387 15753 C     641.0 Dodd (Buttermere) (sHew,N,B)
W EW3765 NY 16907 23064 C     454.0 Dodd (Lorton) (B)
W EW2524 NY 34599 13052 C     858.0 Dollywaggon Pike (Hew,N,W,B)
W EW2533 NY 37458 10444 C     792.0 Dove Crag (Hew,N,W,B)
W EW2447 NY 25580 11379 C     632.0 Dovenest Top [Dovenest Crag][Stonethwaite Fell] (Hew,N,B)
W EW2638 SD 26253 97792 C     778.0 Dow Crag (Hew,N,W,B,Hu)
W EW2357 NY 46775 24635 C     240.0 Dunmallet (WO)
W EW2681 SD 20700 91900 C     280.0 Dunnerdale Fells (WO)
W S10072 SD 23400 99500 C     180.0 Dunnerdale Forest carprk (S)
W EW2475 NY 27577 12072 C     525.0 Eagle Crag (W,B)
W EW3727 NY 19027 20692 C     807.0 Eel Crag (Birkett) (B)
